gene	species	dN	dS	dNdS
ENSGACG00000011430_ENSGACT00000007290	pun	0.0309	0.0670	0.4603
ENSGACG00000011430_ENSGACT00000007290	sin	0.0036	0.0000	99.0000
ENSGACG00000011432_ENSGACT00000015428	ref	0.0469	0.1220	0.3841
ENSGACG00000011432_ENSGACT00000015428	pun	0.0141	0.0190	0.7448
ENSGACG00000011432_ENSGACT00000015428	sin	0.0108	0.0435	0.2490
ENSGACG00000011433_ENSGACT00000019104	ref	0.0221	0.0694	0.3180
ENSGACG00000011433_ENSGACT00000019104	pun	0.0126	0.0218	0.5786
ENSGACG00000011433_ENSGACT00000019104	sin	0.0007	0.0014	0.5176
ENSGACG00000011434_ENSGACT00000015431	ref	0.0238	0.1125	0.2116
ENSGACG00000011434_ENSGACT00000015431	pun	0.0083	0.0248	0.3353
ENSGACG00000011434_ENSGACT00000015431	sin	0.0103	0.0259	0.3998
ENSGACG00000011436_ENSGACT00000004617	ref	0.0221	0.1008	0.2189
ENSGACG00000011436_ENSGACT00000004617	pun	0.0036	0.0000	99.0000
ENSGACG00000011436_ENSGACT00000004617	sin	0.0051	0.0184	0.2749
ENSGACG00000011439_ENSGACT00000015428	ref	0.0000	0.0000	nan
ENSGACG00000011439_ENSGACT00000015428	pun	0.0000	0.0000	-nan
ENSGACG00000011439_ENSGACT00000015428	sin	0.0000	0.0000	nan
ENSGACG00000011440_ENSGACT00000019095	ref	0.0107	0.1804	0.0593
ENSGACG00000011440_ENSGACT00000019095	pun	0.0023	0.0404	0.0580
ENSGACG00000011440_ENSGACT00000019095	sin	0.0012	0.0091	0.1277
ENSGACG00000011442_ENSGACT00000009244	ref	0.0268	0.2357	0.1137
ENSGACG00000011442_ENSGACT00000009244	pun	0.0038	0.0317	0.1186
ENSGACG00000011442_ENSGACT00000009244	sin	0.0048	0.0194	0.2471
ENSGACG00000011443_ENSGACT00000015431	ref	0.0686	0.0007	99.0000
ENSGACG00000011443_ENSGACT00000015431	pun	0.0000	0.0000	2.0001
ENSGACG00000011443_ENSGACT00000015431	sin	0.0000	0.0000	99.0000
ENSGACG00000011444_ENSGACT00000019278	ref	0.0033	0.1399	0.0234
ENSGACG00000011444_ENSGACT00000019278	pun	0.0000	0.0319	0.0010
ENSGACG00000011444_ENSGACT00000019278	sin	0.0000	0.0000	0.0010
ENSGACG00000011445_ENSGACT00000019089	ref	0.0738	0.2391	0.3086
ENSGACG00000011445_ENSGACT00000019089	pun	0.0119	0.0113	1.0482
ENSGACG00000011445_ENSGACT00000019089	sin	0.0000	0.0268	0.0010
ENSGACG00000011446_ENSGACT00000007304	ref	0.0194	0.1298	0.1497
ENSGACG00000011446_ENSGACT00000007304	pun	0.0022	0.1181	0.0186
ENSGACG00000011446_ENSGACT00000007304	sin	0.0012	0.0192	0.0607
ENSGACG00000011446_ENSGACT00000007336	ref	0.0850	0.2020	0.4205
ENSGACG00000011446_ENSGACT00000007336	pun	0.0303	0.1572	0.1930
ENSGACG00000011446_ENSGACT00000007336	sin	0.0000	0.0270	0.0010
ENSGACG00000011447_ENSGACT00000015435	ref	0.0000	0.0415	0.0010
ENSGACG00000011447_ENSGACT00000015435	pun	0.0000	0.0000	0.1025
ENSGACG00000011447_ENSGACT00000015435	sin	0.0000	0.0000	0.0010
ENSGACG00000011448_ENSGACT00000020412	ref	0.0018	0.1503	0.0118
ENSGACG00000011448_ENSGACT00000020412	pun	0.0000	0.0360	0.0010
ENSGACG00000011448_ENSGACT00000020412	sin	0.0017	0.0245	0.0707
ENSGACG00000011449_ENSGACT00000014216	ref	0.1210	0.0012	99.0000
ENSGACG00000011449_ENSGACT00000014216	pun	0.0000	0.0000	2.0000
ENSGACG00000011449_ENSGACT00000014216	sin	0.0000	0.0000	1.6417
ENSGACG00000011450_ENSGACT00000009252	ref	0.0412	0.4104	0.1004
ENSGACG00000011450_ENSGACT00000009252	pun	0.0000	0.0000	0.0010
ENSGACG00000011450_ENSGACT00000009252	sin	0.0000	0.0000	0.0010
ENSGACG00000011451_ENSGACT00000004626	ref	0.0360	0.1322	0.2720
ENSGACG00000011451_ENSGACT00000004626	pun	0.0044	0.0462	0.0957
ENSGACG00000011451_ENSGACT00000004626	sin	0.0043	0.0346	0.1230
ENSGACG00000011452_ENSGACT00000014206	ref	0.0234	0.1513	0.1545
ENSGACG00000011452_ENSGACT00000014206	pun	0.0050	0.0001	99.0000
ENSGACG00000011452_ENSGACT00000014206	sin	0.0050	0.0001	99.0000
ENSGACG00000011453_ENSGACT00000009252	ref	0.0384	0.2083	0.1845
ENSGACG00000011453_ENSGACT00000009252	pun	0.0027	0.0317	0.0862
ENSGACG00000011453_ENSGACT00000009252	sin	0.0054	0.0168	0.3236
ENSGACG00000011454_ENSGACT00000015435	ref	0.0387	0.0809	0.4778
ENSGACG00000011454_ENSGACT00000015435	pun	0.0198	0.0210	0.9405
ENSGACG00000011454_ENSGACT00000015435	sin	0.0090	0.0170	0.5294
ENSGACG00000011456_ENSGACT00000009268	ref	0.0881	0.1046	0.8424
ENSGACG00000011456_ENSGACT00000009268	pun	0.0042	0.0079	0.5334
ENSGACG00000011456_ENSGACT00000009268	sin	0.0066	0.0172	0.3841
ENSGACG00000011456_ENSGACT00000009276	ref	0.0691	0.0900	0.7685
ENSGACG00000011456_ENSGACT00000009276	pun	0.0357	0.0743	0.4813
ENSGACG00000011456_ENSGACT00000009276	sin	0.0353	0.0379	0.9317
ENSGACG00000011457_ENSGACT00000014206	ref	0.0238	0.1826	0.1303
ENSGACG00000011457_ENSGACT00000014206	pun	0.0000	0.0331	0.0010
ENSGACG00000011457_ENSGACT00000014206	sin	0.0000	0.0288	0.0010
ENSGACG00000011457_ENSGACT00000014216	ref	0.0002	0.1623	0.0010
ENSGACG00000011457_ENSGACT00000014216	pun	0.0000	0.0000	99.0000
ENSGACG00000011457_ENSGACT00000014216	sin	0.0000	0.0000	2.0005
ENSGACG00000011458_ENSGACT00000014326	ref	0.0218	0.0704	0.3097
ENSGACG00000011458_ENSGACT00000014326	pun	0.0082	0.0347	0.2372
ENSGACG00000011458_ENSGACT00000014326	sin	0.0082	0.0170	0.4836
ENSGACG00000011458_ENSGACT00000014334	ref	0.0055	0.1026	0.0532
ENSGACG00000011458_ENSGACT00000014334	pun	0.0022	0.0436	0.0506
ENSGACG00000011458_ENSGACT00000014334	sin	0.0054	0.0458	0.1190
ENSGACG00000011460_ENSGACT00000015428	ref	0.0350	0.1180	0.2967
ENSGACG00000011460_ENSGACT00000015428	pun	0.0083	0.0121	0.6885
ENSGACG00000011460_ENSGACT00000015428	sin	0.0212	0.0276	0.7688
ENSGACG00000011462_ENSGACT00000004629	ref	0.0069	0.1425	0.0485
ENSGACG00000011462_ENSGACT00000004629	pun	0.0068	0.0206	0.3300
ENSGACG00000011462_ENSGACT00000004629	sin	0.0038	0.0181	0.2084
ENSGACG00000011463_ENSGACT00000004166	ref	0.0001	0.1349	0.0010
ENSGACG00000011463_ENSGACT00000004166	pun	0.0000	0.0413	0.0010
ENSGACG00000011463_ENSGACT00000004166	sin	0.0001	0.0525	0.0010
ENSGACG00000011463_ENSGACT00000004174	ref	0.0040	0.1988	0.0199
ENSGACG00000011463_ENSGACT00000004174	pun	0.0001	0.0507	0.0010
ENSGACG00000011463_ENSGACT00000004174	sin	0.0000	0.0338	0.0010
ENSGACG00000011464_ENSGACT00000004645	ref	0.0001	0.0740	0.0010
ENSGACG00000011464_ENSGACT00000004645	pun	0.0000	0.0186	0.0010
ENSGACG00000011464_ENSGACT00000004645	sin	0.0000	0.0235	0.0010
ENSGACG00000011465_ENSGACT00000007333	ref	0.0314	0.1398	0.2248
ENSGACG00000011465_ENSGACT00000007333	pun	0.0098	0.0772	0.1264
ENSGACG00000011465_ENSGACT00000007333	sin	0.0047	0.0100	0.4711
ENSGACG00000011466_ENSGACT00000007359	ref	0.0228	0.1320	0.1729
ENSGACG00000011466_ENSGACT00000007359	pun	0.0082	0.0584	0.1404
ENSGACG00000011466_ENSGACT00000007359	sin	0.0022	0.0114	0.1955
ENSGACG00000011468_ENSGACT00000014387	ref	0.0001	0.1490	0.0010
ENSGACG00000011468_ENSGACT00000014387	pun	0.0257	0.0003	99.0000
ENSGACG00000011468_ENSGACT00000014387	sin	0.0000	0.0000	0.0010
ENSGACG00000011468_ENSGACT00000014406	ref	0.0135	0.1592	0.0846
ENSGACG00000011468_ENSGACT00000014406	pun	0.0037	0.0568	0.0655
ENSGACG00000011468_ENSGACT00000014406	sin	0.0028	0.0177	0.1563
ENSGACG00000011469_ENSGACT00000015428	ref	0.0080	0.0924	0.0865
ENSGACG00000011469_ENSGACT00000015428	pun	0.0000	0.0000	0.1795
ENSGACG00000011469_ENSGACT00000015428	sin	0.0000	0.0159	0.0010
ENSGACG00000011469_ENSGACT00000015435	ref	0.0119	0.1224	0.0972
ENSGACG00000011469_ENSGACT00000015435	pun	0.0000	0.0000	0.2033
ENSGACG00000011469_ENSGACT00000015435	sin	0.0000	0.0077	0.0010
ENSGACG00000011471_ENSGACT00000025140	ref	0.0307	0.1304	0.2355
ENSGACG00000011471_ENSGACT00000025140	pun	0.0038	0.0696	0.0540
ENSGACG00000011471_ENSGACT00000025140	sin	0.0036	0.0313	0.1139
ENSGACG00000011472_ENSGACT00000019278	ref	0.0093	0.3366	0.0277
ENSGACG00000011472_ENSGACT00000019278	pun	0.0000	0.0000	0.1282
ENSGACG00000011472_ENSGACT00000019278	sin	0.0000	0.0000	99.0000
ENSGACG00000011473_ENSGACT00000019266	ref	0.0001	0.0815	0.0010
ENSGACG00000011473_ENSGACT00000019266	pun	0.0000	0.0000	0.0010
ENSGACG00000011473_ENSGACT00000019266	sin	0.0000	0.0000	0.0930
ENSGACG00000011474_ENSGACT00000020408	ref	0.0002	0.1533	0.0010
ENSGACG00000011474_ENSGACT00000020408	pun	0.0000	0.0468	0.0010
ENSGACG00000011474_ENSGACT00000020408	sin	0.0000	0.0454	0.0010
ENSGACG00000011475_ENSGACT00000025140	ref	0.0426	0.2183	0.1954
ENSGACG00000011475_ENSGACT00000025140	pun	0.0188	0.0074	2.5200
ENSGACG00000011475_ENSGACT00000025140	sin	0.0084	0.0167	0.5013
ENSGACG00000011476_ENSGACT00000004239	ref	0.0414	0.1133	0.3656
ENSGACG00000011476_ENSGACT00000004239	pun	0.0167	0.0182	0.9164
ENSGACG00000011476_ENSGACT00000004239	sin	0.0211	0.0002	99.0000
ENSGACG00000011478_ENSGACT00000007359	ref	0.0218	0.1677	0.1298
ENSGACG00000011478_ENSGACT00000007359	pun	0.0065	0.0726	0.0899
ENSGACG00000011478_ENSGACT00000007359	sin	0.0022	0.0146	0.1518
ENSGACG00000011479_ENSGACT00000009272	ref	0.0131	0.1166	0.1119
ENSGACG00000011479_ENSGACT00000009272	pun	0.0132	0.0115	1.1507
ENSGACG00000011479_ENSGACT00000009272	sin	0.0094	0.0101	0.9314
ENSGACG00000011480_ENSGACT00000014144	ref	0.0431	0.1200	0.3591
ENSGACG00000011480_ENSGACT00000014144	pun	0.0179	0.0233	0.7685
ENSGACG00000011480_ENSGACT00000014144	sin	0.0052	0.0200	0.2598
ENSGACG00000011482_ENSGACT00000014449	ref	0.0000	0.0000	0.0010
ENSGACG00000011482_ENSGACT00000014449	pun	0.0000	0.0000	0.0010
ENSGACG00000011482_ENSGACT00000014449	sin	0.0000	0.0000	0.0010
ENSGACG00000011483_ENSGACT00000014136	ref	0.0302	0.0417	0.7262
ENSGACG00000011483_ENSGACT00000014136	pun	0.0112	0.0663	0.1683
ENSGACG00000011483_ENSGACT00000014136	sin	0.0049	0.0279	0.1753
ENSGACG00000011484_ENSGACT00000007417	ref	0.0243	0.1903	0.1277
ENSGACG00000011484_ENSGACT00000007417	pun	0.0021	0.0454	0.0461
ENSGACG00000011484_ENSGACT00000007417	sin	0.0044	0.0235	0.1863
ENSGACG00000011485_ENSGACT00000009276	ref	0.0132	0.1295	0.1016
ENSGACG00000011485_ENSGACT00000009276	pun	0.0090	0.0417	0.2156
ENSGACG00000011485_ENSGACT00000009276	sin	0.0044	0.0147	0.2983
ENSGACG00000011486_ENSGACT00000014463	ref	0.0281	0.1595	0.1765
ENSGACG00000011486_ENSGACT00000014463	pun	0.0030	0.0318	0.0935
ENSGACG00000011486_ENSGACT00000014463	sin	0.0025	0.0000	99.0000
ENSGACG00000011487_ENSGACT00000004263	ref	0.0442	0.1460	0.3029
ENSGACG00000011487_ENSGACT00000004263	pun	0.0136	0.0001	99.0000
ENSGACG00000011487_ENSGACT00000004263	sin	0.0048	0.0000	99.0000
ENSGACG00000011489_ENSGACT00000004662	ref	0.0193	0.0978	0.1974
ENSGACG00000011489_ENSGACT00000004662	pun	0.0047	0.0100	0.4654
ENSGACG00000011489_ENSGACT00000004662	sin	0.0023	0.0084	0.2716
ENSGACG00000011490_ENSGACT00000015492	ref	0.0255	0.1112	0.2295
ENSGACG00000011490_ENSGACT00000015492	pun	0.0038	0.0292	0.1287
ENSGACG00000011490_ENSGACT00000015492	sin	0.0066	0.0215	0.3049
ENSGACG00000011491_ENSGACT00000014122	ref	0.0367	0.1089	0.3372
ENSGACG00000011491_ENSGACT00000014122	pun	0.0126	0.0110	1.1461
ENSGACG00000011491_ENSGACT00000014122	sin	0.0123	0.0041	3.0010
ENSGACG00000011492_ENSGACT00000025140	ref	0.0103	0.1243	0.0831
ENSGACG00000011492_ENSGACT00000025140	pun	0.0025	0.0194	0.1293
ENSGACG00000011492_ENSGACT00000025140	sin	0.0042	0.0064	0.6490
ENSGACG00000011493_ENSGACT00000019254	ref	0.0021	0.0564	0.0373
ENSGACG00000011493_ENSGACT00000019254	pun	0.0000	0.0000	0.1342
ENSGACG00000011493_ENSGACT00000019254	sin	0.0000	0.0000	0.2190
ENSGACG00000011494_ENSGACT00000020576	ref	0.0065	0.1164	0.0560
ENSGACG00000011494_ENSGACT00000020576	pun	0.0000	0.0099	0.0010
ENSGACG00000011494_ENSGACT00000020576	sin	0.0000	0.0118	0.0010
ENSGACG00000011495_ENSGACT00000014116	ref	0.0161	0.1088	0.1484
ENSGACG00000011495_ENSGACT00000014116	pun	0.0108	0.0263	0.4114
ENSGACG00000011495_ENSGACT00000014116	sin	0.0045	0.0161	0.2764
ENSGACG00000011496_ENSGACT00000015500	ref	0.0546	0.1736	0.3144
ENSGACG00000011496_ENSGACT00000015500	pun	0.0085	0.0317	0.2676
ENSGACG00000011496_ENSGACT00000015500	sin	0.0170	0.0432	0.3925
ENSGACG00000011498_ENSGACT00000004280	ref	0.0067	0.1950	0.0345
ENSGACG00000011498_ENSGACT00000004280	pun	0.0016	0.0422	0.0378
ENSGACG00000011498_ENSGACT00000004280	sin	0.0000	0.0351	0.0010
ENSGACG00000011499_ENSGACT00000015500	ref	0.0263	0.1294	0.2035
ENSGACG00000011499_ENSGACT00000015500	pun	0.0082	0.0001	99.0000
ENSGACG00000011499_ENSGACT00000015500	sin	0.0084	0.0059	1.4227
ENSGACG00000011501_ENSGACT00000020581	ref	0.0212	0.1476	0.1436
ENSGACG00000011501_ENSGACT00000020581	pun	0.0068	0.0210	0.3230
ENSGACG00000011501_ENSGACT00000020581	sin	0.0123	0.0186	0.6617
ENSGACG00000011502_ENSGACT00000009268	ref	0.0074	0.1205	0.0613
ENSGACG00000011502_ENSGACT00000009268	pun	0.0000	0.0000	0.0010
ENSGACG00000011502_ENSGACT00000009268	sin	0.0000	0.0000	0.3857
ENSGACG00000011502_ENSGACT00000009272	ref	0.0304	0.1425	0.2132
ENSGACG00000011502_ENSGACT00000009272	pun	0.0020	0.0286	0.0695
ENSGACG00000011502_ENSGACT00000009272	sin	0.0040	0.0219	0.1829
ENSGACG00000011504_ENSGACT00000004683	ref	0.0003	0.2757	0.0010
ENSGACG00000011504_ENSGACT00000004683	pun	0.0001	0.0959	0.0010
ENSGACG00000011504_ENSGACT00000004683	sin	0.0000	0.0456	0.0010
ENSGACG00000011508_ENSGACT00000019248	ref	0.0014	0.0886	0.0159
ENSGACG00000011508_ENSGACT00000019248	pun	0.0000	0.0114	0.0010
ENSGACG00000011508_ENSGACT00000019248	sin	0.0014	0.0153	0.0890
ENSGACG00000011509_ENSGACT00000009268	ref	0.0040	0.1078	0.0371
ENSGACG00000011509_ENSGACT00000009268	pun	0.0020	0.0618	0.0329
ENSGACG00000011509_ENSGACT00000009268	sin	0.0000	0.0058	0.0010
ENSGACG00000011510_ENSGACT00000020591	ref	0.0142	0.1132	0.1258
ENSGACG00000011510_ENSGACT00000020591	pun	0.0027	0.0308	0.0866
ENSGACG00000011510_ENSGACT00000020591	sin	0.0000	0.0266	0.0010
ENSGACG00000011511_ENSGACT00000004314	ref	0.0068	0.1033	0.0655
ENSGACG00000011511_ENSGACT00000004314	pun	0.0009	0.0298	0.0297
ENSGACG00000011511_ENSGACT00000004314	sin	0.0018	0.0235	0.0751
ENSGACG00000011511_ENSGACT00000004398	ref	0.0143	0.0919	0.1552
ENSGACG00000011511_ENSGACT00000004398	pun	0.0000	0.0080	0.0010
ENSGACG00000011511_ENSGACT00000004398	sin	0.0048	0.0062	0.7767
ENSGACG00000011512_ENSGACT00000025140	ref	0.0249	0.2017	0.1236
ENSGACG00000011512_ENSGACT00000025140	pun	0.0080	0.0235	0.3423
ENSGACG00000011512_ENSGACT00000025140	sin	0.0067	0.0316	0.2123
ENSGACG00000011513_ENSGACT00000004711	ref	0.0123	0.2139	0.0575
ENSGACG00000011513_ENSGACT00000004711	pun	0.0049	0.0862	0.0564
ENSGACG00000011513_ENSGACT00000004711	sin	0.0024	0.0585	0.0411
ENSGACG00000011514_ENSGACT00000020589	ref	0.0150	0.2264	0.0661
ENSGACG00000011514_ENSGACT00000020589	pun	0.0042	0.0405	0.1044
ENSGACG00000011514_ENSGACT00000020589	sin	0.0000	0.0427	0.0010
ENSGACG00000011514_ENSGACT00000020591	ref	0.0173	0.1734	0.0995
ENSGACG00000011514_ENSGACT00000020591	pun	0.0041	0.0257	0.1592
ENSGACG00000011514_ENSGACT00000020591	sin	0.0029	0.0352	0.0825
ENSGACG00000011515_ENSGACT00000004769	ref	0.0001	0.0577	0.0010
ENSGACG00000011515_ENSGACT00000004769	pun	0.0000	0.0000	1.3098
ENSGACG00000011515_ENSGACT00000004769	sin	0.0001	0.1098	0.0010
ENSGACG00000011515_ENSGACT00000004803	ref	0.0000	0.0446	0.0010
ENSGACG00000011515_ENSGACT00000004803	pun	0.0000	0.0000	0.0010
ENSGACG00000011515_ENSGACT00000004803	sin	0.0001	0.0942	0.0010
ENSGACG00000011516_ENSGACT00000019242	ref	0.0058	0.2381	0.0245
ENSGACG00000011516_ENSGACT00000019242	pun	0.0000	0.0123	0.0010
ENSGACG00000011516_ENSGACT00000019242	sin	0.0000	0.0118	0.0010
ENSGACG00000011517_ENSGACT00000014110	ref	0.0191	0.2625	0.0726
ENSGACG00000011517_ENSGACT00000014110	pun	0.0025	0.0451	0.0546
ENSGACG00000011517_ENSGACT00000014110	sin	0.0000	0.0433	0.0010
ENSGACG00000011518_ENSGACT00000014501	ref	0.0721	0.1619	0.4453
ENSGACG00000011518_ENSGACT00000014501	pun	0.0144	0.0419	0.3447
ENSGACG00000011518_ENSGACT00000014501	sin	0.0073	0.0109	0.6689
ENSGACG00000011519_ENSGACT00000009308	ref	0.0084	0.1386	0.0608
ENSGACG00000011519_ENSGACT00000009308	pun	0.0046	0.0173	0.2655
ENSGACG00000011519_ENSGACT00000009308	sin	0.0030	0.0121	0.2490
ENSGACG00000011521_ENSGACT00000015523	ref	0.0132	0.1321	0.0999
ENSGACG00000011521_ENSGACT00000015523	pun	0.0030	0.0131	0.2264
ENSGACG00000011521_ENSGACT00000015523	sin	0.0030	0.0161	0.1848
ENSGACG00000011522_ENSGACT00000014102	ref	0.0241	0.1439	0.1676
ENSGACG00000011522_ENSGACT00000014102	pun	0.0046	0.0000	99.0000
ENSGACG00000011522_ENSGACT00000014102	sin	0.0001	0.0520	0.0010
ENSGACG00000011523_ENSGACT00000019031	ref	0.0031	0.0789	0.0389
ENSGACG00000011523_ENSGACT00000019031	pun	0.0033	0.0340	0.0957
ENSGACG00000011523_ENSGACT00000019031	sin	0.0000	0.0183	0.0010
ENSGACG00000011524_ENSGACT00000009294	ref	0.0011	0.0765	0.0143
ENSGACG00000011524_ENSGACT00000009294	pun	0.0011	0.0131	0.0803
ENSGACG00000011524_ENSGACT00000009294	sin	0.0000	0.0118	0.0010
ENSGACG00000011525_ENSGACT00000014097	ref	0.0161	0.1566	0.1026
ENSGACG00000011525_ENSGACT00000014097	pun	0.0029	0.0291	0.0994
ENSGACG00000011525_ENSGACT00000014097	sin	0.0000	0.0232	0.0010
ENSGACG00000011527_ENSGACT00000014501	ref	0.0169	0.4815	0.0350
ENSGACG00000011527_ENSGACT00000014501	pun	0.0042	0.0321	0.1317
ENSGACG00000011527_ENSGACT00000014501	sin	0.0021	0.0209	0.1027
ENSGACG00000011527_ENSGACT00000014507	ref	0.0229	0.5475	0.0418
ENSGACG00000011527_ENSGACT00000014507	pun	0.0080	0.0683	0.1178
ENSGACG00000011527_ENSGACT00000014507	sin	0.0038	0.0194	0.1957
ENSGACG00000011528_ENSGACT00000025151	ref	0.0031	0.1275	0.0240
ENSGACG00000011528_ENSGACT00000025151	pun	0.0000	0.0000	0.1204
ENSGACG00000011528_ENSGACT00000025151	sin	0.0000	0.0000	0.1725
ENSGACG00000011529_ENSGACT00000019242	ref	0.0680	0.0007	99.0000
ENSGACG00000011529_ENSGACT00000019242	pun	0.0000	0.0000	2.0000
ENSGACG00000011529_ENSGACT00000019242	sin	0.0000	0.0000	4.9276
ENSGACG00000011530_ENSGACT00000019623	ref	0.0146	0.1611	0.0904
ENSGACG00000011530_ENSGACT00000019623	pun	0.0013	0.0532	0.0243
ENSGACG00000011530_ENSGACT00000019623	sin	0.0041	0.0181	0.2240
ENSGACG00000011531_ENSGACT00000014514	ref	0.0259	0.1434	0.1809
ENSGACG00000011531_ENSGACT00000014514	pun	0.0067	0.0487	0.1384
ENSGACG00000011531_ENSGACT00000014514	sin	0.0067	0.0138	0.4817
ENSGACG00000011532_ENSGACT00000025179	ref	0.0153	0.1203	0.1274
ENSGACG00000011532_ENSGACT00000025179	pun	0.0015	0.0133	0.1143
ENSGACG00000011532_ENSGACT00000025179	sin	0.0008	0.0022	0.3650
ENSGACG00000011533_ENSGACT00000014070	ref	0.0001	0.0650	0.0010
ENSGACG00000011533_ENSGACT00000014070	pun	0.0000	0.0326	0.0010
ENSGACG00000011533_ENSGACT00000014070	sin	0.0000	0.0122	0.0010
ENSGACG00000011535_ENSGACT00000007449	ref	0.0345	0.1351	0.2553
ENSGACG00000011535_ENSGACT00000007449	pun	0.0193	0.0352	0.5487
ENSGACG00000011535_ENSGACT00000007449	sin	0.0061	0.0206	0.2947
ENSGACG00000011536_ENSGACT00000019242	ref	0.0294	0.1207	0.2438
ENSGACG00000011536_ENSGACT00000019242	pun	0.0072	0.0001	99.0000
ENSGACG00000011536_ENSGACT00000019242	sin	0.0001	0.0601	0.0010
ENSGACG00000011536_ENSGACT00000019248	ref	0.0319	0.1013	0.3146
ENSGACG00000011536_ENSGACT00000019248	pun	0.0078	0.0001	99.0000
ENSGACG00000011536_ENSGACT00000019248	sin	0.0001	0.0656	0.0010
ENSGACG00000011537_ENSGACT00000019623	ref	0.0001	0.1436	0.0010
ENSGACG00000011537_ENSGACT00000019623	pun	0.0000	0.0000	0.1180
ENSGACG00000011537_ENSGACT00000019623	sin	0.0000	0.0300	0.0010
ENSGACG00000011538_ENSGACT00000007479	ref	0.0360	0.1477	0.2436
ENSGACG00000011538_ENSGACT00000007479	pun	0.0058	0.0204	0.2830
ENSGACG00000011538_ENSGACT00000007479	sin	0.0000	0.0000	0.2881
ENSGACG00000011539_ENSGACT00000014070	ref	0.0001	0.1253	0.0010
ENSGACG00000011539_ENSGACT00000014070	pun	0.0000	0.0303	0.0010
ENSGACG00000011539_ENSGACT00000014070	sin	0.0000	0.0304	0.0010
ENSGACG00000011539_ENSGACT00000014074	ref	0.0001	0.1253	0.0010
ENSGACG00000011539_ENSGACT00000014074	pun	0.0000	0.0303	0.0010
ENSGACG00000011539_ENSGACT00000014074	sin	0.0000	0.0304	0.0010
ENSGACG00000011541_ENSGACT00000019623	ref	0.0401	0.0802	0.5006
ENSGACG00000011541_ENSGACT00000019623	pun	0.0089	0.0660	0.1348
ENSGACG00000011541_ENSGACT00000019623	sin	0.0001	0.0576	0.0010
ENSGACG00000011542_ENSGACT00000014539	ref	0.1096	0.0011	99.0000
ENSGACG00000011542_ENSGACT00000014539	pun	0.0000	0.0000	2.0001
ENSGACG00000011542_ENSGACT00000014539	sin	0.0000	0.0000	1.6425
ENSGACG00000011543_ENSGACT00000025189	ref	0.0076	0.1755	0.0430
ENSGACG00000011543_ENSGACT00000025189	pun	0.0015	0.0207	0.0721
ENSGACG00000011543_ENSGACT00000025189	sin	0.0015	0.0255	0.0586
ENSGACG00000011544_ENSGACT00000007479	ref	0.0481	0.2350	0.2048
ENSGACG00000011544_ENSGACT00000007479	pun	0.0169	0.0803	0.2111
ENSGACG00000011544_ENSGACT00000007479	sin	0.0035	0.0060	0.5819
ENSGACG00000011545_ENSGACT00000019222	ref	0.0286	0.0924	0.3091
ENSGACG00000011545_ENSGACT00000019222	pun	0.0014	0.0185	0.0781
ENSGACG00000011545_ENSGACT00000019222	sin	0.0030	0.0081	0.3735
ENSGACG00000011546_ENSGACT00000020608	ref	0.0215	0.0910	0.2364
ENSGACG00000011546_ENSGACT00000020608	pun	0.0034	0.0000	99.0000
ENSGACG00000011546_ENSGACT00000020608	sin	0.0037	0.0123	0.3035
ENSGACG00000011547_ENSGACT00000004822	ref	0.0150	0.0843	0.1776
ENSGACG00000011547_ENSGACT00000004822	pun	0.0000	0.0000	0.0010
ENSGACG00000011547_ENSGACT00000004822	sin	0.0000	0.0211	0.0010
ENSGACG00000011548_ENSGACT00000007537	ref	0.0359	0.1051	0.3413
ENSGACG00000011548_ENSGACT00000007537	pun	0.0167	0.1160	0.1443
ENSGACG00000011548_ENSGACT00000007537	sin	0.0169	0.0410	0.4120
ENSGACG00000011549_ENSGACT00000015523	ref	0.0145	0.1390	0.1047
ENSGACG00000011549_ENSGACT00000015523	pun	0.0039	0.0143	0.2742
ENSGACG00000011549_ENSGACT00000015523	sin	0.0024	0.0230	0.1052
ENSGACG00000011550_ENSGACT00000019607	ref	0.0307	0.1865	0.1647
ENSGACG00000011550_ENSGACT00000019607	pun	0.0107	0.0629	0.1706
ENSGACG00000011550_ENSGACT00000019607	sin	0.0000	0.0128	0.0010
ENSGACG00000011550_ENSGACT00000019616	ref	0.0070	0.1280	0.0550
ENSGACG00000011550_ENSGACT00000019616	pun	0.0225	0.0820	0.2748
ENSGACG00000011550_ENSGACT00000019616	sin	0.0010	0.0127	0.0810
ENSGACG00000011551_ENSGACT00000019209	ref	0.0177	0.1667	0.1063
ENSGACG00000011551_ENSGACT00000019209	pun	0.0030	0.0222	0.1364
ENSGACG00000011551_ENSGACT00000019209	sin	0.0010	0.0158	0.0659
ENSGACG00000011552_ENSGACT00000009294	ref	0.0030	0.0715	0.0425
ENSGACG00000011552_ENSGACT00000009294	pun	0.0010	0.0245	0.0392
ENSGACG00000011552_ENSGACT00000009294	sin	0.0020	0.0244	0.0828
ENSGACG00000011552_ENSGACT00000009308	ref	0.0078	0.0693	0.1125
ENSGACG00000011552_ENSGACT00000009308	pun	0.0009	0.0230	0.0403
ENSGACG00000011552_ENSGACT00000009308	sin	0.0020	0.0229	0.0854
ENSGACG00000011553_ENSGACT00000020617	ref	0.0108	0.1020	0.1058
ENSGACG00000011553_ENSGACT00000020617	pun	0.0000	0.0171	0.0010
