gene	species	dN	dS	dNdS
ENSGACG00000004575_ENSGACT00000008998	Y	0.0489	0.2201	0.2224
ENSGACG00000004575_ENSGACT00000008998	Yprivate	0.0000	0.0000	0.4239
ENSGACG00000004580_ENSGACT00000009004	ref_chrXII	0.0000	0.0072	0.0010
ENSGACG00000004580_ENSGACT00000009004	sin	0.0088	0.1173	0.0747
ENSGACG00000004580_ENSGACT00000009004	sinprivate	0.0000	0.0000	0.0041
ENSGACG00000004580_ENSGACT00000009004	tym	0.0066	0.1364	0.0483
ENSGACG00000004580_ENSGACT00000009004	X	0.0066	0.1350	0.0487
ENSGACG00000004580_ENSGACT00000009004	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004580_ENSGACT00000009004	Y	0.0066	0.1350	0.0487
ENSGACG00000004580_ENSGACT00000009004	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004585_ENSGACT00000008973	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004585_ENSGACT00000008973	sin	0.0078	0.0809	0.0963
ENSGACG00000004585_ENSGACT00000008973	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004585_ENSGACT00000008973	tym	0.0156	0.1133	0.1378
ENSGACG00000004585_ENSGACT00000008973	X	0.0076	0.1133	0.0675
ENSGACG00000004585_ENSGACT00000008973	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004585_ENSGACT00000008973	Y	0.0078	0.0809	0.0963
ENSGACG00000004585_ENSGACT00000008973	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004594_ENSGACT00000008939	ref_chrXII	0.0043	0.0440	0.0969
ENSGACG00000004594_ENSGACT00000008939	sin	0.0179	0.1439	0.1246
ENSGACG00000004594_ENSGACT00000008939	sinprivate	0.0000	0.0000	2.3781
ENSGACG00000004594_ENSGACT00000008939	tym	0.0188	0.2071	0.0906
ENSGACG00000004594_ENSGACT00000008939	X	0.0133	0.1712	0.0779
ENSGACG00000004594_ENSGACT00000008939	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004594_ENSGACT00000008939	Y	0.0134	0.1428	0.0938
ENSGACG00000004594_ENSGACT00000008939	Yprivate	0.0000	0.0000	4.5030
ENSGACG00000004594_ENSGACT00000008963	ref_chrXII	0.0000	0.0477	0.0010
ENSGACG00000004594_ENSGACT00000008963	sin	0.0134	0.2290	0.0585
ENSGACG00000004594_ENSGACT00000008963	sinprivate	0.0000	0.0000	13.2722
ENSGACG00000004594_ENSGACT00000008963	tym	0.0156	0.2573	0.0606
ENSGACG00000004594_ENSGACT00000008963	X	0.0182	0.2495	0.0728
ENSGACG00000004594_ENSGACT00000008963	Xprivate	0.0000	0.0000	0.1209
ENSGACG00000004594_ENSGACT00000008963	Y	0.0134	0.2110	0.0636
ENSGACG00000004594_ENSGACT00000008963	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004605_ENSGACT00000008973	ref_chrXII	0.0025	0.0081	0.3054
ENSGACG00000004605_ENSGACT00000008973	sin	0.0078	0.0762	0.1030
ENSGACG00000004605_ENSGACT00000008973	sinprivate	0.0000	0.0000	0.0533
ENSGACG00000004605_ENSGACT00000008973	tym	0.0078	0.1034	0.0752
ENSGACG00000004605_ENSGACT00000008973	X	0.0106	0.0661	0.1610
ENSGACG00000004605_ENSGACT00000008973	Xprivate	0.0000	0.0000	0.1299
ENSGACG00000004605_ENSGACT00000008973	Y	0.0053	0.0663	0.0796
ENSGACG00000004605_ENSGACT00000008973	Yprivate	0.0000	0.0000	0.1066
ENSGACG00000004620_ENSGACT00000008924	ref_chrXII	0.0016	0.0064	0.2433
ENSGACG00000004620_ENSGACT00000008924	sin	0.0046	0.1043	0.0440
ENSGACG00000004620_ENSGACT00000008924	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004620_ENSGACT00000008924	tym	0.0078	0.1001	0.0775
ENSGACG00000004620_ENSGACT00000008924	X	0.0046	0.1104	0.0418
ENSGACG00000004620_ENSGACT00000008924	Xprivate	0.0000	0.0000	0.0809
ENSGACG00000004620_ENSGACT00000008924	Y	0.0046	0.0953	0.0483
ENSGACG00000004620_ENSGACT00000008924	Yprivate	0.0000	0.0000	0.0292
ENSGACG00000004646_ENSGACT00000008897	ref_chrXII	0.0186	0.0002	99.0000
ENSGACG00000004646_ENSGACT00000008897	sin	0.0791	0.2260	0.3501
ENSGACG00000004646_ENSGACT00000008897	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004646_ENSGACT00000008897	tym	0.1020	0.2846	0.3583
ENSGACG00000004646_ENSGACT00000008897	X	0.0791	0.2260	0.3501
ENSGACG00000004646_ENSGACT00000008897	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004646_ENSGACT00000008897	Y	0.0578	0.2258	0.2559
ENSGACG00000004646_ENSGACT00000008897	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004655_ENSGACT00000008887	ref_chrXII	0.0000	0.0183	0.0010
ENSGACG00000004655_ENSGACT00000008887	sin	0.0067	0.1938	0.0347
ENSGACG00000004655_ENSGACT00000008887	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004655_ENSGACT00000008887	tym	0.0108	0.2369	0.0455
ENSGACG00000004655_ENSGACT00000008887	X	0.0067	0.1795	0.0371
ENSGACG00000004655_ENSGACT00000008887	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004655_ENSGACT00000008887	Y	0.0067	0.1726	0.0386
ENSGACG00000004655_ENSGACT00000008887	Yprivate	0.0000	0.0000	0.1310
ENSGACG00000004662_ENSGACT00000008887	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004662_ENSGACT00000008887	sin	0.0097	0.1022	0.0945
ENSGACG00000004662_ENSGACT00000008887	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004662_ENSGACT00000008887	tym	0.0097	0.1022	0.0945
ENSGACG00000004662_ENSGACT00000008887	X	0.0097	0.1022	0.0945
ENSGACG00000004662_ENSGACT00000008887	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004662_ENSGACT00000008887	Y	0.0097	0.1022	0.0945
ENSGACG00000004662_ENSGACT00000008887	Yprivate	0.0000	0.0000	0.2868
ENSGACG00000004667_ENSGACT00000008902	ref_chrXII	0.0000	0.0105	0.0010
ENSGACG00000004667_ENSGACT00000008902	sin	0.0294	0.1859	0.1582
ENSGACG00000004667_ENSGACT00000008902	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004667_ENSGACT00000008902	tym	0.0293	0.2007	0.1460
ENSGACG00000004667_ENSGACT00000008902	X	0.0275	0.1746	0.1575
ENSGACG00000004667_ENSGACT00000008902	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004667_ENSGACT00000008902	Y	0.0275	0.1746	0.1575
ENSGACG00000004667_ENSGACT00000008902	Yprivate	0.0000	0.0000	0.1354
ENSGACG00000004677_ENSGACT00000008872	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004677_ENSGACT00000008872	sin	0.0213	0.0980	0.2176
ENSGACG00000004677_ENSGACT00000008872	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004677_ENSGACT00000008872	tym	0.0219	0.1923	0.1137
ENSGACG00000004677_ENSGACT00000008872	X	0.0322	0.0985	0.3264
ENSGACG00000004677_ENSGACT00000008872	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004677_ENSGACT00000008872	Y	0.0213	0.0980	0.2176
ENSGACG00000004677_ENSGACT00000008872	Yprivate	0.0000	0.0000	0.0922
ENSGACG00000004681_ENSGACT00000008822	ref_chrXII	0.0000	0.0000	0.1651
ENSGACG00000004681_ENSGACT00000008822	sin	0.0211	0.1011	0.2084
ENSGACG00000004681_ENSGACT00000008822	sinprivate	0.0000	0.0000	0.0011
ENSGACG00000004681_ENSGACT00000008822	tym	0.0218	0.0713	0.3055
ENSGACG00000004681_ENSGACT00000008822	X	0.0218	0.0713	0.3055
ENSGACG00000004681_ENSGACT00000008822	Xprivate	0.0000	0.0000	1.0685
ENSGACG00000004681_ENSGACT00000008822	Y	0.0218	0.0713	0.3055
ENSGACG00000004681_ENSGACT00000008822	Yprivate	0.0000	0.0000	0.2465
ENSGACG00000004708_ENSGACT00000008806	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	sin	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	tym	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	X	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	Y	0.0000	0.0000	0.0010
ENSGACG00000004708_ENSGACT00000008806	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004709_ENSGACT00000008700	ref_chrXII	0.0020	0.0143	0.1384
ENSGACG00000004709_ENSGACT00000008700	sin	0.0416	0.1294	0.3215
ENSGACG00000004709_ENSGACT00000008700	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004709_ENSGACT00000008700	tym	0.0376	0.1192	0.3153
ENSGACG00000004709_ENSGACT00000008700	X	0.0372	0.1153	0.3229
ENSGACG00000004709_ENSGACT00000008700	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004709_ENSGACT00000008700	Y	0.0371	0.1239	0.2993
ENSGACG00000004709_ENSGACT00000008700	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004732_ENSGACT00000008694	ref_chrXII	0.0025	0.0269	0.0921
ENSGACG00000004732_ENSGACT00000008694	sin	0.0124	0.1077	0.1149
ENSGACG00000004732_ENSGACT00000008694	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004732_ENSGACT00000008694	tym	0.0177	0.1130	0.1568
ENSGACG00000004732_ENSGACT00000008694	X	0.0124	0.1284	0.0967
ENSGACG00000004732_ENSGACT00000008694	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004732_ENSGACT00000008694	Y	0.0099	0.0864	0.1145
ENSGACG00000004732_ENSGACT00000008694	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004734_ENSGACT00000008664	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004734_ENSGACT00000008664	sin	0.0073	0.1089	0.0666
ENSGACG00000004734_ENSGACT00000008664	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004734_ENSGACT00000008664	tym	0.0073	0.1089	0.0666
ENSGACG00000004734_ENSGACT00000008664	X	0.0108	0.1141	0.0948
ENSGACG00000004734_ENSGACT00000008664	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004734_ENSGACT00000008664	Y	0.0073	0.1089	0.0666
ENSGACG00000004734_ENSGACT00000008664	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004740_ENSGACT00000008664	ref_chrXII	0.0000	0.0040	0.0010
ENSGACG00000004740_ENSGACT00000008664	sin	0.0168	0.1167	0.1438
ENSGACG00000004740_ENSGACT00000008664	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004740_ENSGACT00000008664	tym	0.0155	0.1295	0.1194
ENSGACG00000004740_ENSGACT00000008664	X	0.0161	0.1033	0.1559
ENSGACG00000004740_ENSGACT00000008664	Xprivate	0.0000	0.0000	0.1650
ENSGACG00000004740_ENSGACT00000008664	Y	0.0147	0.0956	0.1541
ENSGACG00000004740_ENSGACT00000008664	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004753_ENSGACT00000008664	ref_chrXII	0.0000	0.0076	0.0010
ENSGACG00000004753_ENSGACT00000008664	sin	0.0134	0.1242	0.1075
ENSGACG00000004753_ENSGACT00000008664	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004753_ENSGACT00000008664	tym	0.0134	0.1329	0.1010
ENSGACG00000004753_ENSGACT00000008664	X	0.0159	0.1589	0.1004
ENSGACG00000004753_ENSGACT00000008664	Xprivate	0.0000	0.0000	0.1512
ENSGACG00000004753_ENSGACT00000008664	Y	0.0135	0.1214	0.1112
ENSGACG00000004753_ENSGACT00000008664	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004763_ENSGACT00000008633	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004763_ENSGACT00000008633	sin	0.0003	0.2923	0.0010
ENSGACG00000004763_ENSGACT00000008633	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004763_ENSGACT00000008633	tym	0.0005	0.4617	0.0010
ENSGACG00000004763_ENSGACT00000008633	X	0.0003	0.2899	0.0010
ENSGACG00000004763_ENSGACT00000008633	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004763_ENSGACT00000008633	Y	0.0003	0.2923	0.0010
ENSGACG00000004763_ENSGACT00000008633	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004776_ENSGACT00000008633	ref_chrXII	0.0056	0.0001	99.0000
ENSGACG00000004776_ENSGACT00000008633	sin	0.0645	0.1419	0.4548
ENSGACG00000004776_ENSGACT00000008633	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004776_ENSGACT00000008633	tym	0.0781	0.1593	0.4904
ENSGACG00000004776_ENSGACT00000008633	X	0.0638	0.1229	0.5188
ENSGACG00000004776_ENSGACT00000008633	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004776_ENSGACT00000008633	Y	0.0596	0.1396	0.4268
ENSGACG00000004776_ENSGACT00000008633	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004780_ENSGACT00000008478	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004780_ENSGACT00000008478	sin	0.0001	0.1205	0.0010
ENSGACG00000004780_ENSGACT00000008478	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004780_ENSGACT00000008478	tym	0.0001	0.1205	0.0010
ENSGACG00000004780_ENSGACT00000008478	X	0.0002	0.2057	0.0010
ENSGACG00000004780_ENSGACT00000008478	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004780_ENSGACT00000008478	Y	0.0001	0.1205	0.0010
ENSGACG00000004780_ENSGACT00000008478	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004780_ENSGACT00000008485	ref_chrXII	0.0000	0.0000	99.0000
ENSGACG00000004780_ENSGACT00000008485	sin	0.0001	0.0691	0.0010
ENSGACG00000004780_ENSGACT00000008485	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004780_ENSGACT00000008485	tym	0.0001	0.0691	0.0010
ENSGACG00000004780_ENSGACT00000008485	X	0.0001	0.1172	0.0010
ENSGACG00000004780_ENSGACT00000008485	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004780_ENSGACT00000008485	Y	0.0001	0.0691	0.0010
ENSGACG00000004780_ENSGACT00000008485	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004801_ENSGACT00000008485	ref_chrXII	0.0000	0.0424	0.0010
ENSGACG00000004801_ENSGACT00000008485	sin	0.0232	0.1324	0.1752
ENSGACG00000004801_ENSGACT00000008485	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004801_ENSGACT00000008485	tym	0.0154	0.0952	0.1619
ENSGACG00000004801_ENSGACT00000008485	X	0.0238	0.0874	0.2720
ENSGACG00000004801_ENSGACT00000008485	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004801_ENSGACT00000008485	Y	0.0239	0.0866	0.2757
ENSGACG00000004801_ENSGACT00000008485	Yprivate	0.0000	0.0000	21.8602
ENSGACG00000004839_ENSGACT00000008349	ref_chrXII	0.0012	0.0000	99.0000
ENSGACG00000004839_ENSGACT00000008349	sin	0.0277	0.1503	0.1845
ENSGACG00000004839_ENSGACT00000008349	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004839_ENSGACT00000008349	tym	0.0355	0.1325	0.2680
ENSGACG00000004839_ENSGACT00000008349	X	0.0341	0.1632	0.2088
ENSGACG00000004839_ENSGACT00000008349	Xprivate	0.0000	0.0000	0.2664
ENSGACG00000004839_ENSGACT00000008349	Y	0.0277	0.1332	0.2081
ENSGACG00000004839_ENSGACT00000008349	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004861_ENSGACT00000008349	ref_chrXII	0.0000	0.0000	99.0000
ENSGACG00000004861_ENSGACT00000008349	sin	0.0030	0.0999	0.0297
ENSGACG00000004861_ENSGACT00000008349	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004861_ENSGACT00000008349	tym	0.0030	0.0844	0.0350
ENSGACG00000004861_ENSGACT00000008349	X	0.0029	0.0701	0.0417
ENSGACG00000004861_ENSGACT00000008349	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004861_ENSGACT00000008349	Y	0.0029	0.0701	0.0417
ENSGACG00000004861_ENSGACT00000008349	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004864_ENSGACT00000008349	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004864_ENSGACT00000008349	sin	0.0000	0.0000	0.0035
ENSGACG00000004864_ENSGACT00000008349	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004864_ENSGACT00000008349	tym	0.0000	0.0000	0.0010
ENSGACG00000004864_ENSGACT00000008349	X	0.0000	0.0000	0.0010
ENSGACG00000004864_ENSGACT00000008349	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004864_ENSGACT00000008349	Y	0.0000	0.0000	0.2899
ENSGACG00000004864_ENSGACT00000008349	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000004869_ENSGACT00000008264	ref_chrXII	0.0009	0.0026	0.3637
ENSGACG00000004869_ENSGACT00000008264	sin	0.0024	0.1392	0.0175
ENSGACG00000004869_ENSGACT00000008264	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004869_ENSGACT00000008264	tym	0.0020	0.1443	0.0137
ENSGACG00000004869_ENSGACT00000008264	X	0.0029	0.1266	0.0231
ENSGACG00000004869_ENSGACT00000008264	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004869_ENSGACT00000008264	Y	0.0024	0.1335	0.0182
ENSGACG00000004869_ENSGACT00000008264	Yprivate	0.0000	0.0000	0.1083
ENSGACG00000004869_ENSGACT00000008324	ref_chrXII	0.0000	0.0000	99.0000
ENSGACG00000004869_ENSGACT00000008324	sin	0.0166	0.1032	0.1611
ENSGACG00000004869_ENSGACT00000008324	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004869_ENSGACT00000008324	tym	0.0168	0.0733	0.2300
ENSGACG00000004869_ENSGACT00000008324	X	0.0168	0.0733	0.2300
ENSGACG00000004869_ENSGACT00000008324	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000004869_ENSGACT00000008324	Y	0.0168	0.0733	0.2300
ENSGACG00000004869_ENSGACT00000008324	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004901_ENSGACT00000008313	ref_chrXII	0.0013	0.0000	99.0000
ENSGACG00000004901_ENSGACT00000008313	sin	0.0134	0.1643	0.0815
ENSGACG00000004901_ENSGACT00000008313	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000004901_ENSGACT00000008313	tym	0.0109	0.1626	0.0673
ENSGACG00000004901_ENSGACT00000008313	X	0.0159	0.1683	0.0947
ENSGACG00000004901_ENSGACT00000008313	Xprivate	0.0000	0.0000	0.1259
ENSGACG00000004901_ENSGACT00000008313	Y	0.0134	0.1577	0.0847
ENSGACG00000004901_ENSGACT00000008313	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004910_ENSGACT00000008264	ref_chrXII	0.0000	0.0164	0.0010
ENSGACG00000004910_ENSGACT00000008264	sin	0.0125	0.1149	0.1090
ENSGACG00000004910_ENSGACT00000008264	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004910_ENSGACT00000008264	tym	0.0124	0.1007	0.1232
ENSGACG00000004910_ENSGACT00000008264	X	0.0165	0.1211	0.1364
ENSGACG00000004910_ENSGACT00000008264	Xprivate	0.0000	0.0000	0.1678
ENSGACG00000004910_ENSGACT00000008264	Y	0.0124	0.0997	0.1247
ENSGACG00000004910_ENSGACT00000008264	Yprivate	0.0000	0.0000	0.2022
ENSGACG00000004911_ENSGACT00000008264	ref_chrXII	0.0000	0.0056	0.0010
ENSGACG00000004911_ENSGACT00000008264	sin	0.0084	0.1508	0.0555
ENSGACG00000004911_ENSGACT00000008264	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004911_ENSGACT00000008264	tym	0.0083	0.1691	0.0492
ENSGACG00000004911_ENSGACT00000008264	X	0.0083	0.1621	0.0510
ENSGACG00000004911_ENSGACT00000008264	Xprivate	0.0000	0.0000	0.1123
ENSGACG00000004911_ENSGACT00000008264	Y	0.0084	0.1508	0.0555
ENSGACG00000004911_ENSGACT00000008264	Yprivate	0.0000	0.0000	0.0455
ENSGACG00000004924_ENSGACT00000008238	ref_chrXII	0.0009	0.0096	0.0936
ENSGACG00000004924_ENSGACT00000008238	sin	0.0186	0.1187	0.1567
ENSGACG00000004924_ENSGACT00000008238	sinprivate	0.0000	0.0000	0.1316
ENSGACG00000004924_ENSGACT00000008238	tym	0.0255	0.1308	0.1948
ENSGACG00000004924_ENSGACT00000008238	X	0.0223	0.1301	0.1716
ENSGACG00000004924_ENSGACT00000008238	Xprivate	0.0000	0.0000	0.7900
ENSGACG00000004924_ENSGACT00000008238	Y	0.0177	0.1110	0.1595
ENSGACG00000004924_ENSGACT00000008238	Yprivate	0.0000	0.0000	0.5869
ENSGACG00000004938_ENSGACT00000008224	ref_chrXII	0.0000	0.0000	99.0000
ENSGACG00000004938_ENSGACT00000008224	sin	0.0195	0.1376	0.1418
ENSGACG00000004938_ENSGACT00000008224	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004938_ENSGACT00000008224	tym	0.0195	0.1376	0.1418
ENSGACG00000004938_ENSGACT00000008224	X	0.0195	0.1376	0.1418
ENSGACG00000004938_ENSGACT00000008224	Xprivate	0.0000	0.0000	1.7763
ENSGACG00000004938_ENSGACT00000008224	Y	0.0195	0.1376	0.1418
ENSGACG00000004938_ENSGACT00000008224	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000004944_ENSGACT00000008175	ref_chrXII	0.0025	0.0000	99.0000
ENSGACG00000004944_ENSGACT00000008175	sin	0.0441	0.1514	0.2909
ENSGACG00000004944_ENSGACT00000008175	sinprivate	0.0000	0.0000	0.2206
ENSGACG00000004944_ENSGACT00000008175	tym	0.0490	0.1601	0.3060
ENSGACG00000004944_ENSGACT00000008175	X	0.0415	0.1697	0.2442
ENSGACG00000004944_ENSGACT00000008175	Xprivate	0.0000	0.0000	0.3050
ENSGACG00000004944_ENSGACT00000008175	Y	0.0414	0.1525	0.2716
ENSGACG00000004944_ENSGACT00000008175	Yprivate	0.0000	0.0000	0.3309
ENSGACG00000004973_ENSGACT00000008136	ref_chrXII	0.0000	0.0081	0.0010
ENSGACG00000004973_ENSGACT00000008136	sin	0.0129	0.1466	0.0878
ENSGACG00000004973_ENSGACT00000008136	sinprivate	0.0000	0.0000	0.0349
ENSGACG00000004973_ENSGACT00000008136	tym	0.0120	0.1521	0.0791
ENSGACG00000004973_ENSGACT00000008136	X	0.0129	0.1513	0.0854
ENSGACG00000004973_ENSGACT00000008136	Xprivate	0.0000	0.0000	0.1940
ENSGACG00000004973_ENSGACT00000008136	Y	0.0112	0.1352	0.0830
ENSGACG00000004973_ENSGACT00000008136	Yprivate	0.0000	0.0000	0.1587
ENSGACG00000004981_ENSGACT00000008129	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000004981_ENSGACT00000008129	sin	0.0002	0.2318	0.0010
ENSGACG00000004981_ENSGACT00000008129	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000004981_ENSGACT00000008129	tym	0.0025	0.1766	0.0141
ENSGACG00000004981_ENSGACT00000008129	X	0.0025	0.1697	0.0145
ENSGACG00000004981_ENSGACT00000008129	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000004981_ENSGACT00000008129	Y	0.0002	0.1836	0.0010
ENSGACG00000004981_ENSGACT00000008129	Yprivate	0.0000	0.0000	0.0762
ENSGACG00000005021_ENSGACT00000008129	ref_chrXII	0.0013	0.0084	0.1560
ENSGACG00000005021_ENSGACT00000008129	sin	0.0109	0.0661	0.1645
ENSGACG00000005021_ENSGACT00000008129	sinprivate	0.0000	0.0000	0.1133
ENSGACG00000005021_ENSGACT00000008129	tym	0.0096	0.0981	0.0976
ENSGACG00000005021_ENSGACT00000008129	X	0.0155	0.0769	0.2012
ENSGACG00000005021_ENSGACT00000008129	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000005021_ENSGACT00000008129	Y	0.0096	0.0670	0.1434
ENSGACG00000005021_ENSGACT00000008129	Yprivate	0.0000	0.0000	0.0603
ENSGACG00000005027_ENSGACT00000008129	ref_chrXII	0.0000	0.0074	0.0010
ENSGACG00000005027_ENSGACT00000008129	sin	0.0001	0.0630	0.0010
ENSGACG00000005027_ENSGACT00000008129	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000005027_ENSGACT00000008129	tym	0.0001	0.0723	0.0010
ENSGACG00000005027_ENSGACT00000008129	X	0.0001	0.0630	0.0010
ENSGACG00000005027_ENSGACT00000008129	Xprivate	0.0000	0.0000	0.0915
ENSGACG00000005027_ENSGACT00000008129	Y	0.0001	0.0630	0.0010
ENSGACG00000005027_ENSGACT00000008129	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000005033_ENSGACT00000008129	ref_chrXII	0.0000	0.0000	1.9999
ENSGACG00000005033_ENSGACT00000008129	sin	0.0254	0.0003	99.0000
ENSGACG00000005033_ENSGACT00000008129	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000005033_ENSGACT00000008129	tym	0.0254	0.0003	99.0000
ENSGACG00000005033_ENSGACT00000008129	X	0.0254	0.0003	99.0000
ENSGACG00000005033_ENSGACT00000008129	Xprivate	0.0000	0.0000	2.0000
ENSGACG00000005033_ENSGACT00000008129	Y	0.0254	0.0003	99.0000
ENSGACG00000005033_ENSGACT00000008129	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000005036_ENSGACT00000008077	ref_chrXII	0.0000	0.0125	0.0010
ENSGACG00000005036_ENSGACT00000008077	sin	0.0068	0.0663	0.1024
ENSGACG00000005036_ENSGACT00000008077	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000005036_ENSGACT00000008077	tym	0.0115	0.0834	0.1373
ENSGACG00000005036_ENSGACT00000008077	X	0.0090	0.0747	0.1199
ENSGACG00000005036_ENSGACT00000008077	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000005036_ENSGACT00000008077	Y	0.0067	0.0612	0.1102
ENSGACG00000005036_ENSGACT00000008077	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000005072_ENSGACT00000008034	ref_chrXII	0.0014	0.0260	0.0530
ENSGACG00000005072_ENSGACT00000008034	sin	0.0076	0.1389	0.0549
ENSGACG00000005072_ENSGACT00000008034	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000005072_ENSGACT00000008034	tym	0.0076	0.1574	0.0483
ENSGACG00000005072_ENSGACT00000008034	X	0.0091	0.1644	0.0554
ENSGACG00000005072_ENSGACT00000008034	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000005072_ENSGACT00000008034	Y	0.0062	0.1196	0.0515
ENSGACG00000005072_ENSGACT00000008034	Yprivate	0.0000	0.0000	0.0863
ENSGACG00000005072_ENSGACT00000008040	ref_chrXII	0.0020	0.0139	0.1450
ENSGACG00000005072_ENSGACT00000008040	sin	0.0060	0.1084	0.0550
ENSGACG00000005072_ENSGACT00000008040	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000005072_ENSGACT00000008040	tym	0.0059	0.1151	0.0510
ENSGACG00000005072_ENSGACT00000008040	X	0.0059	0.1210	0.0488
